"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","19.0082888085953","1.13955724280968","16.680415949732","4.92371594017749e-40"
"dps","0.29544305122641","1.03173790192701","0.286354752185222","0.774895606662964"
"qs","4.95542519196774e-07","9.05948646344194e-07","0.546987427153243","0.584982298155702"
"gs","-0.903772548215279","1.14674592096764","-0.78811926137279","0.431537319750971"
"ys","0.648749590270364","1.14500709583875","0.566590017326608","0.571612550498613"
"titles","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","9.5219967492235","2.31768429696347","4.10840974402718","5.7573838416491e-05"
"dps","3.06683271577219","2.0983963280181","1.46151262029169","0.14540595172303"
"qs","2.22855205514465e-06","1.84256031431141e-06","1.20948662458167","0.227868912464589"
"gs","1.1592521336373","2.33230496353178","0.497041404003127","0.619692487296737"
"ys","-3.70219081080316","2.32876846045408","-1.58976337651072","0.113429138652984"
"titles","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","15.4166191305953","2.22872266699378","6.91724428476784","6.51405310052943e-11"
"dps","7.72481962019957","3.95498766766223","1.95318424969089","0.0522359625690258"
"qs","1.78077984620793e-05","1.44823482368342e-05","1.22962092685958","0.220328251926148"
"gs","1.09265563608483","2.82645058904744","0.386582252779828","0.699489179955599"
"ys","8.23895721458184","2.99965778815741","2.74663238157001","0.00658793126774798"
"dps:qs","-5.89623583869448e-05","4.16343171406761e-05","-1.41619611984315","0.158321680556335"
"dps:gs","-2.42182486877044","4.57190238783312","-0.529719286049384","0.596912261997836"
"qs:gs","-6.24964686340042e-06","1.56374205078562e-05","-0.399659704761446","0.689846837793185"
"dps:ys","-9.40504304134415","4.5148598196389","-2.08313068778653","0.0385500464800318"
"qs:ys","-2.36211225065582e-05","1.54271700218834e-05","-1.53113775715518","0.127364361342623"
"gs:ys","-3.97958414539408","4.03630876605523","-0.985946411944944","0.325387461500223"
"dps:qs:gs","2.20715438658225e-05","4.52980593647584e-05","0.487251422585092","0.626630277067139"
"dps:qs:ys","5.15582573230945e-05","4.39311467250407e-05","1.17361510378481","0.241988048921303"
"dps:gs:ys","-1.1503459902983","5.67269540352384","-0.202786490101991","0.839514437711675"
"qs:gs:ys","9.9339954086195e-06","1.66456204608304e-05","0.596793338643978","0.551341178479573"
"dps:qs:gs:ys","-2.89569793319733e-06","4.79398411674005e-05","-0.0604027435778496","0.951897052339066"
"titles","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","4.84318859294783","4.7507059186376","1.01946714359805","0.309250893914597"
"dps","11.3809149003761","8.43038193991416","1.34998805291282","0.178592797321256"
"qs","2.57578281985365e-05","3.08703180092399e-05","0.83438817153833","0.405088540395808"
"gs","7.28320187709732","6.02481221238545","1.20886786514689","0.228184905821695"
"ys","2.56139149902679","6.39401762234895","0.400591873577887","0.689161436755298"
"dps:qs","-6.56043138276073e-05","8.87469759193672e-05","-0.739228724674668","0.460661611724294"
"dps:gs","-8.65411261193165","9.74538647404208","-0.888021489448657","0.375628853159681"
"qs:gs","-3.21691383837852e-05","3.33324496847794e-05","-0.965099735783131","0.3356963628451"
"dps:ys","-8.98269654233142","9.62379554200381","-0.933383975493425","0.35178198807978"
"qs:ys","-1.96340196622862e-05","3.28842834580435e-05","-0.597063934427428","0.551160877038116"
"gs:ys","-6.99268510237099","8.603724558611","-0.812750926036143","0.417357138832363"
"dps:qs:gs","7.75168318717726e-05","9.6556544209794e-05","0.802812823368526","0.42306536017691"
"dps:qs:ys","5.193926656339e-05","9.36428573415545e-05","0.554652731002706","0.579771092171123"
"dps:gs:ys","6.23690271544494","12.0918174464926","0.515795308938775","0.606584707621876"
"qs:gs:ys","2.76893055470667e-05","3.54815109182371e-05","0.780386878418831","0.436114317074266"
"dps:qs:gs:ys","-6.00395302183639e-05","0.000102187719694938","-0.587541540192895","0.55752328963209"
"titles","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","17.3460896118311","1.46464619644643","11.84319438641","4.02459102940474e-21"
"dps06","2.36362241165318","1.51267784606954","1.56254183122645","0.121141086376241"
"qs06","1.41401265793841e-09","2.5404691894085e-06","0.000556595082449173","0.999556947552927"
"gs06","0.0271474393849083","1.66400285798686","0.0163145389171697","0.987014126902619"
"titles","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","8.36971685817361","3.57315468723652","2.34238861476405","0.0210284777720085"
"dps06","4.62738670755092","3.69033282513967","1.25392123876409","0.212628966391819"
"qs06","-8.25301573312789e-07","6.19773527145261e-06","-0.133161798167503","0.89431789374333"
"gs06","2.47997119585657","4.05950571954951","0.610904717762482","0.542570430066778"
"titles","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","21.926822516528","1.41224520682052","15.5262148603027","6.3035001067488e-28"
"dps11","-2.11048001604832","1.3833003700266","-1.52568455975165","0.13037633691244"
"qs11","4.78159573672321e-07","9.19730961877092e-07","0.519890700098253","0.604336529473497"
"gs11","-2.39797021631923","1.55101560509455","-1.54606453245392","0.125379297717927"
"titles","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","7.87107933050053","1.95907726180043","4.01774829608653","0.000116787651860749"
"dps11","1.0194243006681","1.9189247646734","0.531247665064972","0.596474206572183"
"qs11","2.65253362984615e-06","1.27585776583643e-06","2.07901985697222","0.0402820985166127"
"gs11","-0.661061748322094","2.15158061076324","-0.307244704202643","0.759322631496746"
